"^0x04000086\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Hauni Elektronik H.323 Server"
"^0x04000088\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Dr. Neuhaus Mikroelektronik H.323 Server"
"^0x0400008a\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "MPS Software H.323 Server"
"^0x0400008b\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Ferrari Electronik GmbH H.323 Server"
"^0x0400008c\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "MBP Kommunikationssysteme GmbH H.323 Server"
"^0x0400008d\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Schneider Rundfunkwerke AG H.323 Server"
"^0x0400008e\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Digitronic Computersysteme GmbH H.323 Server"
"^0x0400008f\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "DeTeWe - Deutsche Telephonwerke AG H.323 Server"
"^0x0900003d\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Equivalence (OpenH323) H.323 Server"
"^0x20000081\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Mediatrix Telecom H.323 Server"
"^0x3c000000\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Nokia H.323 Server"
"^0x3d00031[0-9a-f]\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Swissvoice H.323 Server"
"^0x(?:82000002|a5000001)\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Ericsson H.323 Server"
